Order Id,First Name,Last Name,Address Line 1,Address Line 2,City,County,Country,Post Code,Contact Number,Email Address,Product Title,Product SKU,Product Image,Product Price,Type,Payment Method,Order Date
mp_34576,Edward,Snowden,1 Hidou Str,Somewhere,Moscow,,RU,350080,23465436543,edward.s@sna.com,My Perfect Eyes,EYES,https://www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/11/MPE-MPCC-10-Mirror.jpg,17.99,Web,PayPal,12/01/2020
mp_34576,Edward,Snowden,2 Hidou Str,Somewhere,Moscow,,RU,350080,23465436543,edward.s@sna.com,My Perfect Facial,FACIAL,//www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/09/facial-lifestyle.png,£17.99 ,Web,PayPal,12/01/2020
mp_34576,Edward,Snowden,3 Hidou Str,Somewhere,Moscow,,RU,350080,23465436543,edward.s@sna.com,My Perfect Eyes,EYES,https://www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/11/MPE-MPCC-10-Mirror.jpg,17.99,Web,PayPal,12/01/2020
mp_34576,Edward,Snowden,4 Hidou Str,Somewhere,Moscow,,RU,350080,23465436543,edward.s@sna.com,My Perfect Foundation,FOUND,myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/09/mpf-light-1.png,19.79,Web,PayPal,12/01/2020
mp_34576,Edward,Snowden,5 Hidou Str,Somewhere,Moscow,,RU,350080,23465436543,edward.s@sna.com,My Perfect Facial,FACIAL,//www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/09/facial-lifestyle.png,£17.99 ,Web,PayPal,12/01/2020
mp_34545,Aaron,Swartz,132 Milyway Blvd,Block 1,Washington,,US,36521453,555-876-897,a.swartz@sin.com,My Perfect Night,NIGHT,www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/09/Night-15ml.jpg,16.99,Amazon,Debit,09/02/2020
mp_34545,Aaron,Swartz,133 Milyway Blvd,Block 2,Washington,,US,36521454,555-876-898,a.swartz@sin.com,My Perfect Foundation,FOUND,myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/09/mpf-light-1.png,19.79,Amazon,Debit,10/02/2020
mp_34545,Aaron,Swartz,134 Milyway Blvd,Block 3,Washington,,US,36521455,555-876-899,a.swartz@sin.com,My Perfect Eyes,EYES,https://www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/11/MPE-MPCC-10-Mirror.jpg,17.99,Amazon,Debit,11/02/2020
mp_34541,Alan,Turing,84 Miracle Street,Block 14,New York,,US,125457,565-874-785,a.turing@ai.com,My Perfect Night,NIGHT,www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/09/Night-15ml.jpg,16.99,Web,Debit,02/03/2020
mp_34548,Mary,Somerville,1 Difere,Farmhaven,Andalusia,,ES,C4d5d5,1200-454-45,m.somerville@alg.com,My Perfect Eyes,EYES,https://www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/11/MPE-MPCC-10-Mirror.jpg,17.99,Web ,PayPal,02/03/2020
mp_34512,Ada,Lovelace,54 Dunsmore ave,Willenhall,Coventry,West Midlands,UK,CV33GF,2476555000,ada.lovelace@math.com,My Perfect Night,NIGHT,www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/09/Night-15ml.jpg,16.99,Web,Debit,03/03/2020
mp_34512,Ada,Lovelace,55 Dunsmore ave,Willenhall,Coventry,West Midlands,UK,CV33GF,2476555001,ada.lovelace@math.com,My Perfect Eyes,EYES,https://www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/11/MPE-MPCC-10-Mirror.jpg,17.99,Web,Debit,04/03/2020
mp_34512,Ada,Lovelace,56 Dunsmore ave,Willenhall,Coventry,West Midlands,UK,CV33GF,2476555002,ada.lovelace@math.com,My Perfect Foundation,FOUND,myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/09/mpf-light-1.png,£19.79 ,Web,Debit,05/03/2020
mp_34512,Ada,Lovelace,57 Dunsmore ave,Willenhall,Coventry,West Midlands,UK,CV33GF,2476555003,ada.lovelace@math.com,My Perfect Facial,FACIAL,//www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/09/facial-lifestyle.png,£17.99 ,Web,Debit,06/03/2020
mp_34509,Florence,Nightingale,123 Monich Road,Cranhill,Glasgow,Strathclyde,UK,G349PD,1417654571,flor.night@math.com,My Perfect Night,NIGHT,www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/09/Night-15ml.jpg,16.99,eBay,Credit,08/07/2020
mp_34509,Florence,Nightingale,124 Monich Road,Cranhill,Glasgow,Strathclyde,UK,G349PD,1417654572,flor.night@math.com,My Perfect Eyes,EYES,https://www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/11/MPE-MPCC-10-Mirror.jpg,17.99,eBay,Credit,09/07/2020
mp_34509,Florence,Nightingale,125 Monich Road,Cranhill,Glasgow,Strathclyde,UK,G349PD,1417654573,flor.night@math.com,My Perfect Night,NIGHT,www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/09/Night-15ml.jpg,16.99,eBay,Credit,10/07/2020
mp_34509,Florence,Nightingale,126 Monich Road,Cranhill,Glasgow,Strathclyde,UK,G349PD,1417654574,flor.night@math.com,My Perfect Foundation,FOUND,myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/09/mpf-light-1.png,19.79,eBay,Credit,11/07/2020
mp_34531,Kevin,Mitnick,7a Eastfield Place,City Centre,Rugby,West Midlands,UK,CV213AT,2014565478,kev.mitnick@cantcatchme.com,My Perfect Eyes,EYES,https://www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/11/MPE-MPCC-10-Mirror.jpg,17.99,Web,Debit,14/07/2020
mp_34531,Kevin,Mitnick,7a Eastfield Place,City Centre,Rugby,West Midlands,UK,CV213AT,2014565479,kev.mitnick@cantcatchme.com,My Perfect Night,NIGHT,www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/09/Night-15ml.jpg,16.99,Web,Debit,15/07/2020
mp_34531,Kevin,Mitnick,7a Eastfield Place,City Centre,Rugby,West Midlands,UK,CV213AT,2014565480,kev.mitnick@cantcatchme.com,My Perfect Facial,FACIAL,//www.myperfectcosmeticscompany.co.uk/wp-content/uploads/2019/09/facial-lifestyle.png,£17.99 ,Web,Debit,16/07/2020
